分组,字段,为什么要这个（下单时怎么用）,示例（格式参考·虚构值）,供应商A,供应商B
一、联系与商务,业务联系人 + 电话/微信,催货、改单、异常第一时间找得到人,张三 138xxxx0000 / 微信同号,,
一、联系与商务,备用联系人（业务不在时找谁）,旺季/休假时不断联,李四（厂长）139xxxx0000,,
一、联系与商务,付款条款,对账开票节奏；谈加急时的筹码,月结60，票到付款,,
一、联系与商务,开票主体与税率,三单匹配用；主体不符发票作废,与合同主体一致，13%专票,,
一、联系与商务,报价有效期 / 调价机制,超期下单前要重新确认价格,报价有效90天；纸价波动±5%触发调价,,
二、订购规则,最小起订量 MOQ（按物料类别分别写）,低于MOQ的缺口怎么处理要提前知道,腰封类5000只起；纸盒类1000只起,,
二、订购规则,低于MOQ时的处理方式,是加价接、拼单凑、还是拒接,可拼同版拼色凑量；或加收300元版费,,
二、订购规则,单次最大接单量 / 月产能上限,超过产能的大单必须提前锁排产,单款单次≤50万只；月总产能约800万只,,
二、订购规则,凑整单位,下单量要凑到整箱/整扎，不然供应商也会自行凑整,腰封500只/扎、5000只/箱；按箱凑整,,
二、订购规则,新品/改版首单要求,打样确认周期要加进首单交期,需签样确认，打样3天，首单加2天,,
三、时间节奏,接单截止时间,过点=顺延一天，倒推日历时要修正,当天16:00前下单算当天接单,,
三、时间节奏,常规生产周期（自然日/工作日？）,倒推公式的主项；注意问清是哪种口径,常规7个自然日（含制版）；返单5天,,
三、时间节奏,加急生产周期 + 加急费,急单的备选路径和成本,最快3天，加收15%加急费,,
三、时间节奏,工厂是否周末生产/发货,决定倒推时周末要不要跳过,周六生产，周日休；周日不发货,,
三、时间节奏,发货频次 / 固定发货日,不是天天发车的话，错过就多等一轮,每周二、四、六发车,,
三、时间节奏,运输方式 + 运输时长,倒推第二项；旺季/雨季要留浮动,专线物流，1-2天到仓,,
三、时间节奏,节假日停产安排（春节/国庆提前量）,长假前必须提前备货的天数,春节前15天停接单，提前45天备货,,
四、到货交付,可送货时间窗,保证到达是工作日白天；仓库收货时间对齐,工作日 8:30-16:30 可收货,,
四、到货交付,是否需要预约卸货 / 提前多久,整车到货不预约=门口排队半天,整车需提前1天约仓库月台,,
四、到货交付,分批到货阈值（超过多少量会分批）,大单排期要按批次分别跟踪,单款>10万只分2-3批，间隔2-3天,,
四、到货交付,分批规则（首批比例/间隔）,首批要够生产先跑起来,首批≥50%，余量一周内到齐,,
四、到货交付,包装与托盘规格,仓库卸货、码放、点数效率,纸箱+缠膜托盘，1.2m*1m标准托,,
四、到货交付,随货单证,缺证仓库可拒收：送货单/合格证/检测报告,送货单2联+出厂合格证；食品接触材料年度检测报告备案,,
五、质量与异常,不良品处理约定,扣款、补货还是退货，事前有约定事后不扯皮,不良率>0.5%整批可退；不良品下单补足,,
五、质量与异常,补货周期（欠交/不良补货多快）,影响安全库存的设定,补货优先排产，3天内发出,,
五、质量与异常,历史准交率 / 风险印象,决定这家要留多少安全余量,准交约90%，旺季偶有延1-2天,,
五、质量与异常,备用供应商（此家断供找谁）,一主一备；没有就是风险项,（待开发）,,
